OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
43,Rokytnice v Orlických horách,541409,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rokytnice v Orlických horách,576701,POINT(50.1623 16.4667),16.4667,50.1623,ZST128
44,Slemeno,541300,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Tutleky,576841,POINT(50.1476 16.2432),16.2432,50.1476,ZST142
45,Pěčín,541508,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Pěčín,576620,POINT(50.1615 16.4207),16.4207,50.1615,ZST112
46,Lípa nad Orlicí,530204,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Lípa nad Orlicí,576476,POINT(50.1422 16.1038),16.1038,50.1422,ZST86
47,Rychnov nad Kněžnou,541102,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,POINT(50.1587 16.275),16.275,50.1587,ZST133
48,Rychnov nad Kněžnou zastávka,541201,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,POINT(50.167 16.2721),16.2721,50.167,ZST134
49,Týniště nad Orlicí,531806,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Týniště nad Orlicí,576859,POINT(50.1555 16.0754),16.0754,50.1555,ZST168
50,Petrovice nad Orlicí,531905,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Týniště nad Orlicí,576859,POINT(50.1745 16.0473),16.0473,50.1745,ZST114
51,Solnice zastávka,541052,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Kvasiny,576425,POINT(50.2007 16.2577),16.2577,50.2007,ZST148
52,Solnice,541003,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Solnice,576808,POINT(50.2045 16.2554),16.2554,50.2045,ZST147
53,Třebechovice pod Orebem,531608,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Třebechovice pod Orebem,571041,POINT(50.2008 15.9836),15.9836,50.2008,ZST166
54,Bolehošť,540302,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Bolehošť,576123,POINT(50.2154 16.0664),16.0664,50.2154,ZST10
55,Blešno,531707,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Blešno,569879,POINT(50.2154 15.9373),15.9373,50.2154,ZST6
56,Očelice,540401,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Očelice,576557,POINT(50.2441 16.0646),16.0646,50.2441,ZST107
57,Opočno pod Orlickými horami,539304,stanice,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Opočno,576590,POINT(50.2792 16.0871),16.0871,50.2792,ZST110
58,Dobruška,540104,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,POINT(50.29 16.1537),16.1537,50.29,ZST32
59,Pohoří,539502,zastávka,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Pohoří,576662,POINT(50.2923 16.0802),16.0802,50.2923,ZST119
60,Bohuslavice nad Metují zastávka,539403,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Bohuslavice,573892,POINT(50.3128 16.081),16.081,50.3128,ZST9
61,Bohuslavice nad Metují,539106,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Černčice,573957,POINT(50.329 16.0971),16.0971,50.329,ZST8
62,Černčice,539205,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Černčice,573957,POINT(50.3353 16.107),16.107,50.3353,ZST23
63,Nové Město nad Metují,538900,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Nové Město nad Metují,5211,Nové Město nad Metují,574279,POINT(50.3542 16.1391),16.1391,50.3542,ZST105
64,Jaroměř,567701,stanice,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,POINT(50.3426 15.9117),15.9117,50.3426,ZST57
65,Mladé Buky,572305,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Mladé Buky,579548,POINT(50.6079 15.8422),15.8422,50.6079,ZST93
66,Kuks,567602,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,POINT(50.3967 15.8857),15.8857,50.3967,ZST76
67,Jaroměř zastávka,567800,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,POINT(50.3578 15.9127),15.9127,50.3578,ZST58
68,Kalná Voda,572404,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.6012 15.874),15.874,50.6012,ZST65
69,Trutnov-Staré město,572503,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5916 15.8831),15.8831,50.5916,ZST160
70,Trutnov-Volanov,571000,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5617 15.8889),15.8889,50.5617,ZST161
71,Trutnov-Zelená Louka,572909,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5816 15.8896),15.8896,50.5816,ZST162
