OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
147,Butoves,555102,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Butoves,549282,POINT(50.3889 15.4261),15.4261,50.3889,ZST17
148,Kovač,555300,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kovač,548944,POINT(50.3931 15.4707),15.4707,50.3931,ZST72
149,Šárovcova Lhota,564906,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Šárovcova Lhota,573256,POINT(50.4086 15.5623),15.5623,50.4086,ZST155
150,Vitiněves,555201,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Vitiněves,573752,POINT(50.4001 15.382),15.382,50.4001,ZST175
151,Lázně Bělohrad,564807,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Lázně Bělohrad,573094,POINT(50.427 15.5785),15.5785,50.427,ZST79
152,Bílá Třemešná,567305,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Bílá Třemešná,579068,POINT(50.4527 15.7343),15.7343,50.4527,ZST5
153,Jičín,554204,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,POINT(50.4315 15.3625),15.3625,50.4315,ZST60
154,Horní Nová Ves,565002,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Lázně Bělohrad,573094,POINT(50.4516 15.5732),15.5732,50.4516,ZST41
155,Jičín zastávka,554303,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,POINT(50.4515 15.3823),15.3823,50.4515,ZST61
156,Železnice,554105,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Železnice,573825,POINT(50.4635 15.3771),15.3771,50.4635,ZST184
157,Mostek,567107,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Mostek,579556,POINT(50.492 15.6935),15.6935,50.492,ZST96
158,Nová Paka,566703,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,POINT(50.4874 15.5243),15.5243,50.4874,ZST102
159,Borovnička,567206,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Borovnička,548821,POINT(50.5008 15.6601),15.6601,50.5008,ZST13
160,Nová Paka město,566802,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,POINT(50.4953 15.5139),15.5139,50.4953,ZST103
161,Chotěvice,569905,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Chotěvice,579319,POINT(50.5197 15.7611),15.7611,50.5197,ZST54
162,Borovnice,567008,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Borovnice,579092,POINT(50.5101 15.6055),15.6055,50.5101,ZST12
163,Hrdoňovice,558700,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Mladějov,573205,POINT(50.4912 15.2655),15.2655,50.4912,ZST49
164,Semínova Lhota,553701,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Újezd pod Troskami,573680,POINT(50.5188 15.2823),15.2823,50.5188,ZST138
165,Libuň zastávka,553917,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libuň,573124,POINT(50.5009 15.3019),15.3019,50.5009,ZST85
166,Libuň,553909,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libuň,573124,POINT(50.491 15.3043),15.3043,50.491,ZST84
167,Jivany,553800,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libuň,573124,POINT(50.5145 15.3001),15.3001,50.5145,ZST64
168,Kněžnice,558502,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kněžnice,573043,POINT(50.4936 15.3214),15.3214,50.4936,ZST68
169,Cidlina,558403,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kněžnice,573043,POINT(50.5016 15.3376),15.3376,50.5016,ZST19
170,Kyje u Jičína,558304,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kyje,572047,POINT(50.5008 15.3775),15.3775,50.5008,ZST78
171,Sobotka,558809,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Sobotka,573493,POINT(50.4662 15.1692),15.1692,50.4662,ZST146
172,Mlýnec,562900,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kopidlno,573060,POINT(50.3185 15.222),15.222,50.3185,ZST95
173,Mladějov v Čechách,558601,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Mladějov,573205,POINT(50.4817 15.2277),15.2277,50.4817,ZST94
174,Kopidlno,563007,stanice,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kopidlno,573060,POINT(50.3347 15.2616),15.2616,50.3347,ZST69
175,Pševes,563106,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Kopidlno,573060,POINT(50.346 15.2969),15.2969,50.346,ZST126
176,Bartoušov zastávka,563601,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičíněves,573001,POINT(50.3558 15.3123),15.3123,50.3558,ZST3
177,Bartoušov,563205,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičíněves,573001,POINT(50.362 15.3258),15.3258,50.362,ZST2
178,Jičíněves,563304,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičíněves,573001,POINT(50.3751 15.3385),15.3385,50.3751,ZST62
179,Lovčice obec,564203,zastávka,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Lovčice,570320,POINT(50.1712 15.3837),15.3837,50.1712,ZST88
180,Jinolice,554006,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jinolice,549151,POINT(50.4798 15.3364),15.3364,50.4798,ZST63
181,Staré Místo u Jičína,563502,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Staré Místo,549096,POINT(50.407 15.3542),15.3542,50.407,ZST150
182,Nemyčeves,563403,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Nemyčeves,573230,POINT(50.3881 15.3617),15.3617,50.3881,ZST101
183,Převýšov,530303,stanice,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Převýšov,570681,POINT(50.1534 15.4086),15.4086,50.1534,ZST125
184,Libošovice,559005,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libošovice,573116,POINT(50.4869 15.1648),15.1648,50.4869,ZST83
185,Malechovice,558908,zastávka,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Libošovice,573116,POINT(50.4942 15.1887),15.1887,50.4942,ZST91
