ObjectId,linka_1,licence_1,spoj_1,dopravce_1,tarifni_cislo_1,prijezd_1,ceka_1,odjezd_1,zastavka_crz,zastavka_nazev,vycka,typ,linka_2,licence_2,spoj_2,dopravce_2,z_do,cas,dp_id
1,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,3,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 04:08:00+00,CDAL201
2,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,3,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 04:08:00+00,CDAL202
3,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 150,611150,4,BusLine KHK s.r.o.,Jičín,2021/10/08 04:07:00+00,CDAL203
4,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 152,611152,1,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 04:08:00+00,CDAL204
5,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 155,611155,4,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 04:08:00+00,CDAL205
6,IREDO 153,611153,1,BusLine KHK s.r.o.  ,1,2021/10/08 04:10:00+00,0,2021/10/08 04:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,3,BusLine KHK s.r.o.,Hořice,2021/10/08 04:02:59+00,CDAL206
7,IREDO 153,611153,5,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 08:53:00+00,CDAL207
8,IREDO 153,611153,5,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,7,BusLine KHK s.r.o.,Hořice,2021/10/08 08:58:00+00,CDAL208
9,IREDO 153,611153,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:25:00+00,0,2021/10/08 12:25:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,19,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:20:59+00,CDAL209
10,IREDO 153,611153,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:25:00+00,0,2021/10/08 12:25:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,52,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 12:22:00+00,CDAL210
11,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 101,611101,31,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 14:53:00+00,CDAL211
12,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 151,611151,20,BusLine KHK s.r.o.,Chlumec n.Cidl.,2021/10/08 14:58:59+00,CDAL212
13,IREDO 153,611153,9,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 155,611155,18,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 14:58:00+00,CDAL213
14,IREDO 154,611154,3,BusLine KHK s.r.o.  ,1,2021/10/08 07:40:00+00,0,2021/10/08 07:40:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 07:33:00+00,CDAL214
15,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,21,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:53:00+00,CDAL215
16,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,16,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 12:59:00+00,CDAL216
17,IREDO 154,611154,7,BusLine KHK s.r.o.  ,1,2021/10/08 12:59:59+00,0,2021/10/08 12:59:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 155,611155,14,BusLine KHK s.r.o.,Vysoké Veselí,2021/10/08 12:58:00+00,CDAL217
18,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 101,611101,33,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 15:53:00+00,CDAL218
19,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 151,611151,22,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 16:04:00+00,CDAL219
20,IREDO 154,611154,9,BusLine KHK s.r.o.  ,1,2021/10/08 16:05:00+00,0,2021/10/08 16:05:00+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 155,611155,20,BusLine KHK s.r.o.,Hořice - Vysoké Veselí,2021/10/08 15:58:00+00,CDAL220
21,IREDO 154,611154,4,BusLine KHK s.r.o.  ,24,2021/10/08 09:04:59+00,0,2021/10/08 09:04:59+00,15296,"Kopidlno,žel.st.",10,vlak,VLAK,15810,,"České dráhy, a.s.",Jičín,2021/10/08 09:00:00+00,CDAL221
22,IREDO 154,611154,8,BusLine KHK s.r.o.  ,23,2021/10/08 15:08:00+00,0,2021/10/08 15:08:00+00,15294,"Kopidlno,nám.",10,bus,IREDO 516,631516,17,BusLine KHK s.r.o.,Jičín,2021/10/08 14:58:59+00,CDAL222
23,IREDO 154,611154,8,BusLine KHK s.r.o.  ,24,2021/10/08 15:04:59+00,0,2021/10/08 15:04:59+00,15296,"Kopidlno,žel.st.",15,vlak,VLAK,15820,,"České dráhy, a.s.",Jičín,2021/10/08 15:00:00+00,CDAL223
24,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,1,BusLine KHK s.r.o.,Nechanice,2021/10/08 03:08:00+00,CDAL224
25,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 102,611102,1,BusLine KHK s.r.o.,Kosice,2021/10/08 03:08:00+00,CDAL225
26,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 150,611150,2,BusLine KHK s.r.o.,Kozojedy,2021/10/08 03:07:00+00,CDAL226
27,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 153,611153,2,BusLine KHK s.r.o.,Městec Králové,2021/10/08 03:07:00+00,CDAL227
28,IREDO 155,611155,3,BusLine KHK s.r.o.  ,1,2021/10/08 03:10:00+00,0,2021/10/08 03:10:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 156,611156,1,BusLine KHK s.r.o.,Šaplava,2021/10/08 03:07:00+00,CDAL228
29,IREDO 155,611155,5,BusLine KHK s.r.o.  ,14,2021/10/08 04:24:00+00,1,2021/10/08 04:25:00+00,40906,"Vysoké Veselí,nám.",5,bus,IREDO 508,631508,205,BusLine KHK s.r.o.,Jičín,2021/10/08 04:25:00+00,CDAL229
30,IREDO 155,611155,9,BusLine KHK s.r.o.  ,1,2021/10/08 09:01:59+00,0,2021/10/08 09:01:59+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,11,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 08:53:00+00,CDAL230
31,IREDO 155,611155,9,BusLine KHK s.r.o.  ,14,2021/10/08 09:29:00+00,1,2021/10/08 09:30:00+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,9,BusLine KHK s.r.o.,Jičín,2021/10/08 09:22:00+00,CDAL231
32,IREDO 155,611155,13,BusLine KHK s.r.o.  ,1,2021/10/08 12:01:59+00,0,2021/10/08 12:01:59+00,63117,"Nový Bydžov,Terminál HD",3,bus,IREDO 101,611101,17,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 11:53:00+00,CDAL232
33,IREDO 155,611155,13,BusLine KHK s.r.o.  ,1,2021/10/08 12:01:59+00,0,2021/10/08 12:01:59+00,63117,"Nový Bydžov,Terminál HD",3,bus,IREDO 151,611151,14,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 11:58:59+00,CDAL233
34,IREDO 155,611155,17,BusLine KHK s.r.o.  ,1,2021/10/08 13:02:00+00,0,2021/10/08 13:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,21,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 12:53:00+00,CDAL234
35,IREDO 155,611155,17,BusLine KHK s.r.o.  ,1,2021/10/08 13:02:00+00,0,2021/10/08 13:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,16,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 12:59:00+00,CDAL235
36,IREDO 155,611155,17,BusLine KHK s.r.o.  ,14,2021/10/08 13:28:59+00,1,2021/10/08 13:30:00+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,15,BusLine KHK s.r.o.,Jičín,2021/10/08 13:21:59+00,CDAL236
37,IREDO 155,611155,19,BusLine KHK s.r.o.  ,1,2021/10/08 14:02:00+00,0,2021/10/08 14:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 101,611101,27,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 13:53:00+00,CDAL237
38,IREDO 155,611155,19,BusLine KHK s.r.o.  ,1,2021/10/08 14:02:00+00,0,2021/10/08 14:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 151,611151,18,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 13:59:00+00,CDAL238
39,IREDO 155,611155,19,BusLine KHK s.r.o.  ,1,2021/10/08 14:02:00+00,0,2021/10/08 14:02:00+00,63117,"Nový Bydžov,Terminál HD",5,bus,IREDO 153,611153,10,BusLine KHK s.r.o.,Městec Králové,2021/10/08 13:54:00+00,CDAL239
40,IREDO 155,611155,21,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 101,611101,31,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 14:53:00+00,CDAL240
41,IREDO 155,611155,21,BusLine KHK s.r.o.  ,1,2021/10/08 15:01:59+00,0,2021/10/08 15:01:59+00,63117,"Nový Bydžov,Terminál HD",10,bus,IREDO 151,611151,20,BusLine KHK s.r.o.,Chlumec nad Cidlinou,2021/10/08 14:58:59+00,CDAL241
42,IREDO 155,611155,23,BusLine KHK s.r.o.  ,1,2021/10/08 17:02:00+00,0,2021/10/08 17:02:00+00,63117,"Nový Bydžov,Terminál HD",15,bus,IREDO 101,611101,35,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 16:53:00+00,CDAL242
43,IREDO 155,611155,6,BusLine KHK s.r.o.  ,14,2021/10/08 04:33:00+00,2,2021/10/08 04:34:59+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,8,BusLine KHK s.r.o.,Volanice,2021/10/08 04:34:59+00,CDAL243
44,IREDO 155,611155,10,BusLine KHK s.r.o.  ,14,2021/10/08 09:27:00+00,3,2021/10/08 09:30:00+00,40906,"Vysoké Veselí,nám.",3,bus,IREDO 508,631508,9,BusLine KHK s.r.o.,Jičín,2021/10/08 09:22:00+00,CDAL244
45,IREDO 155,611155,10,BusLine KHK s.r.o.  ,18,2021/10/08 09:14:59+00,0,2021/10/08 09:14:59+00,11695,Chomutice,5,bus,IREDO 515,631515,5,BusLine KHK s.r.o.,Jičín,2021/10/08 09:14:59+00,CDAL245
46,IREDO 155,611155,10,BusLine KHK s.r.o.  ,18,2021/10/08 09:14:59+00,0,2021/10/08 09:14:59+00,11695,Chomutice,5,bus,IREDO 515,631515,8,BusLine KHK s.r.o.,Hořice,2021/10/08 09:14:59+00,CDAL246
47,IREDO 155,611155,10,BusLine KHK s.r.o.  ,22,2021/10/08 08:58:00+00,7,2021/10/08 09:04:59+00,25502,"Ostroměř,žel.st.",5,vlak,VLAK,5506,,"České dráhy, a.s.",Hradec Králové,2021/10/08 08:53:00+00,CDAL247
48,IREDO 155,611155,10,BusLine KHK s.r.o.  ,22,2021/10/08 08:58:00+00,7,2021/10/08 09:04:59+00,25502,"Ostroměř,žel.st.",5,vlak,VLAK,5507,,"České dráhy, a.s.",Jičín,2021/10/08 08:54:00+00,CDAL248
49,IREDO 155,611155,10,BusLine KHK s.r.o.  ,22,2021/10/08 08:58:00+00,7,2021/10/08 09:04:59+00,25502,"Ostroměř,žel.st.",5,vlak,VLAK,5709,,"České dráhy, a.s.",Chlumec nad Cidlinou,2021/10/08 08:58:00+00,CDAL249
50,IREDO 155,611155,12,BusLine KHK s.r.o.  ,18,2021/10/08 11:15:00+00,0,2021/10/08 11:15:00+00,11695,Chomutice,5,bus,IREDO 515,631515,10,BusLine KHK s.r.o.,Hořice,2021/10/08 11:15:00+00,CDAL250
51,IREDO 193,611193,104,BusLine KHK s.r.o.  ,17,2021/10/08 11:25:00+00,1,2021/10/08 11:26:00+00,243,"Bačetín,ObÚ",10,bus,IREDO 396,662396,104,AUDIS BUS s.r.o.,Jaroměř - N.Město n.M.,2021/10/08 11:25:00+00,CDAL301
52,IREDO 193,611193,104,BusLine KHK s.r.o.  ,21,2021/10/08 11:05:00+00,10,2021/10/08 11:15:00+00,6059,"Dobruška,aut.st.",5,bus,IREDO 309,642309,105,CDS s.r.o. Náchod,Náchod,2021/10/08 11:13:59+00,CDAL302
53,IREDO 193,611193,104,BusLine KHK s.r.o.  ,22,2021/10/08 10:55:00+00,5,2021/10/08 11:00:00+00,25002,"Opočno,nám.",5,bus,IREDO 261,692261,110,BusLine KHK s.r.o.,Dvůr Králové n.L.,2021/10/08 10:59:00+00,CDAL303
54,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",22,2021/10/08 05:13:00+00,4,2021/10/08 05:16:59+00,9211,"Holice,aut.nádr.",5,bus,650615,650615,6,,Choceň,2021/10/08 05:13:00+00,CDAL304
55,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",22,2021/10/08 05:13:00+00,4,2021/10/08 05:16:59+00,9211,"Holice,aut.nádr.",5,bus,680036,680036,9,Zlatovánek spol. s r.o.,Svitavy,2021/10/08 05:16:00+00,CDAL305
56,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",32,2021/10/08 04:50:00+00,3,2021/10/08 04:53:00+00,58578,"Borohrádek,žel.st.",3,vlak,VLAK,Os5600,,"České dráhy, a.s.",Choceň,2021/10/08 04:49:00+00,CDAL306
57,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",32,2021/10/08 04:50:00+00,3,2021/10/08 04:53:00+00,58578,"Borohrádek,žel.st.",3,vlak,VLAK,Sp1863,,"České dráhy, a.s.",Chlumec n.C.,2021/10/08 04:38:00+00,CDAL307
58,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",37,2021/10/08 04:28:00+00,4,2021/10/08 04:31:59+00,15504,"Kostelec n.Orl.,nám.",3,bus,IREDO 225,661225,1,AUDIS BUS s.r.o.,Rychnov n.Kněž.,2021/10/08 03:59:59+00,CDAL308
59,IREDO 200,651200,4,"ČSAD Ústí nad Orlicí, a.s.",32,2021/10/08 08:50:00+00,0,2021/10/08 08:50:00+00,58578,"Borohrádek,žel.st.",3,vlak,VLAK,Os5605,,"České dráhy, a.s.",Hradec Králové,2021/10/08 08:38:00+00,CDAL309
60,IREDO 200,651200,4,"ČSAD Ústí nad Orlicí, a.s.",45,2021/10/08 08:08:00+00,0,2021/10/08 08:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 261,661261,10,AUDIS BUS s.r.o.,,2021/10/08 08:05:00+00,CDAL310
61,IREDO 200,651200,6,"ČSAD Ústí nad Orlicí, a.s.",32,2021/10/08 12:49:59+00,0,2021/10/08 12:49:59+00,58578,"Borohrádek,žel.st.",3,vlak,VLAK,Sp1865,,"České dráhy, a.s.",Hradec Králové,2021/10/08 12:39:00+00,CDAL311
62,IREDO 200,661200,3,AUDIS BUS s.r.o.,3,2021/10/08 06:08:00+00,0,2021/10/08 06:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20207,,"České dráhy, a.s.",Častolovice,2021/10/08 05:58:00+00,CDAL312
63,IREDO 200,661200,5,AUDIS BUS s.r.o.,3,2021/10/08 10:08:00+00,0,2021/10/08 10:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20245,,"České dráhy, a.s.",Častolovice,2021/10/08 09:56:00+00,CDAL313
64,IREDO 200,661200,7,AUDIS BUS s.r.o.,3,2021/10/08 14:08:00+00,0,2021/10/08 14:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 205,661205,15,AUDIS BUS s.r.o.,Zdobnice,2021/10/08 13:59:00+00,CDAL314
65,IREDO 200,661200,7,AUDIS BUS s.r.o.,3,2021/10/08 14:08:00+00,0,2021/10/08 14:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20221,,"České dráhy, a.s.",Týniště nad Orlicí,2021/10/08 13:57:59+00,CDAL315
66,IREDO 200,661200,11,AUDIS BUS s.r.o.,3,2021/10/08 15:08:00+00,0,2021/10/08 15:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 207,661207,22,AUDIS BUS s.r.o.,,2021/10/08 15:01:59+00,CDAL316
67,IREDO 200,661200,11,AUDIS BUS s.r.o.,3,2021/10/08 15:08:00+00,0,2021/10/08 15:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,5131,,"České dráhy, a.s.",Týniště nad Orlicí,2021/10/08 14:56:00+00,CDAL317
68,IREDO 200,661200,103,AUDIS BUS s.r.o.,3,2021/10/08 06:08:00+00,0,2021/10/08 06:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20207,,"České dráhy, a.s.",Častolovice,2021/10/08 05:58:00+00,CDAL318
69,IREDO 200,661200,105,AUDIS BUS s.r.o.,3,2021/10/08 10:08:00+00,0,2021/10/08 10:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20245,,"České dráhy, a.s.",Častolovice,2021/10/08 09:56:00+00,CDAL319
70,IREDO 200,661200,107,AUDIS BUS s.r.o.,3,2021/10/08 14:08:00+00,0,2021/10/08 14:08:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20221,,"České dráhy, a.s.",Častolovice,2021/10/08 13:57:59+00,CDAL320
71,IREDO 200,661200,8,AUDIS BUS s.r.o.,17,2021/10/08 17:06:59+00,0,2021/10/08 17:06:59+00,58578,"Borohrádek,žel.st.",5,vlak,VLAK,1880,,"České dráhy, a.s.",Choceň,2021/10/08 16:53:00+00,CDAL321
72,IREDO 200,661200,106,AUDIS BUS s.r.o.,17,2021/10/08 17:05:00+00,1,2021/10/08 17:06:00+00,58578,"Borohrádek,žel.st.",5,vlak,VLAK,1880,,"České dráhy, a.s.",Choceň,2021/10/08 16:53:00+00,CDAL322
73,IREDO 201,661201,1,AUDIS BUS s.r.o.,3,2021/10/08 16:15:59+00,0,2021/10/08 16:15:59+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 115,661115,12,AUDIS BUS s.r.o.,Hradec Králové,2021/10/08 16:12:59+00,CDAL323
74,IREDO 201,661201,3,AUDIS BUS s.r.o.,3,2021/10/08 04:25:00+00,0,2021/10/08 04:25:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 309,662309,5,AUDIS BUS s.r.o.,Náchod,2021/10/08 04:21:59+00,CDAL324
75,IREDO 201,661201,5,AUDIS BUS s.r.o.,19,2021/10/08 17:51:00+00,0,2021/10/08 17:51:00+00,31924,"Slatina n.Zdob.,rozc.Kameničná",5,bus,IREDO 202,661202,22,AUDIS BUS s.r.o.,Žamberk,2021/10/08 17:45:00+00,CDAL325
76,IREDO 201,661201,13,AUDIS BUS s.r.o.,3,2021/10/08 06:14:00+00,0,2021/10/08 06:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 225,661225,8,AUDIS BUS s.r.o.,Častolovice,2021/10/08 06:13:00+00,CDAL326
77,IREDO 201,661201,17,AUDIS BUS s.r.o.,3,2021/10/08 08:12:00+00,0,2021/10/08 08:12:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 261,661261,10,AUDIS BUS s.r.o.,Opočno,2021/10/08 08:05:00+00,CDAL327
78,IREDO 201,661201,19,AUDIS BUS s.r.o.,3,2021/10/08 10:14:00+00,0,2021/10/08 10:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 225,661225,52,AUDIS BUS s.r.o.,Častolovice,2021/10/08 10:12:59+00,CDAL328
79,IREDO 201,661201,27,AUDIS BUS s.r.o.,3,2021/10/08 12:24:00+00,0,2021/10/08 12:24:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 208,661208,14,AUDIS BUS s.r.o.,Kostelec n.Orl.,2021/10/08 12:22:00+00,CDAL329
80,IREDO 201,661201,27,AUDIS BUS s.r.o.,3,2021/10/08 12:24:00+00,0,2021/10/08 12:24:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 225,661225,30,AUDIS BUS s.r.o.,Častolovice,2021/10/08 12:16:00+00,CDAL330
81,IREDO 201,661201,27,AUDIS BUS s.r.o.,3,2021/10/08 12:24:00+00,0,2021/10/08 12:24:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 309,662309,13,AUDIS BUS s.r.o.,Náchod,2021/10/08 12:17:00+00,CDAL331
82,IREDO 201,661201,27,AUDIS BUS s.r.o.,3,2021/10/08 12:24:00+00,0,2021/10/08 12:24:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 250,700931,11,"ČSAD Ústí nad Orlicí, a.s.",Česká Třebová,2021/10/08 12:17:59+00,CDAL332
83,IREDO 201,661201,29,AUDIS BUS s.r.o.,3,2021/10/08 13:17:00+00,0,2021/10/08 13:17:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 225,661225,34,AUDIS BUS s.r.o.,Častolovice,2021/10/08 13:15:59+00,CDAL333
84,IREDO 201,661201,29,AUDIS BUS s.r.o.,19,2021/10/08 13:47:59+00,0,2021/10/08 13:47:59+00,31924,"Slatina n.Zdob.,rozc.Kameničná",3,bus,IREDO 202,661202,18,AUDIS BUS s.r.o.,Žamberk,2021/10/08 13:44:59+00,CDAL334
85,IREDO 201,661201,31,AUDIS BUS s.r.o.,3,2021/10/08 14:16:00+00,0,2021/10/08 14:16:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 309,642309,13,CDS s.r.o. Náchod,Náchod,2021/10/08 14:15:00+00,CDAL335
86,IREDO 201,661201,31,AUDIS BUS s.r.o.,3,2021/10/08 14:16:00+00,0,2021/10/08 14:16:00+00,30688,"Rychnov n.Kněž.,žel.st.",3,bus,IREDO 260,662260,28,AUDIS BUS s.r.o.,Dobruška,2021/10/08 14:12:00+00,CDAL336
87,IREDO 201,661201,35,AUDIS BUS s.r.o.,3,2021/10/08 15:20:59+00,0,2021/10/08 15:20:59+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 219,661219,18,AUDIS BUS s.r.o.,Lukavice,2021/10/08 15:13:00+00,CDAL337
88,IREDO 201,661201,35,AUDIS BUS s.r.o.,3,2021/10/08 15:20:59+00,0,2021/10/08 15:20:59+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 225,661225,18,AUDIS BUS s.r.o.,Častolovice,2021/10/08 15:16:00+00,CDAL338
89,IREDO 201,661201,35,AUDIS BUS s.r.o.,3,2021/10/08 15:20:59+00,0,2021/10/08 15:20:59+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 250,700931,13,"ČSAD Ústí nad Orlicí, a.s.",Česká Třebová,2021/10/08 15:13:00+00,CDAL339
90,IREDO 201,661201,35,AUDIS BUS s.r.o.,19,2021/10/08 15:51:00+00,0,2021/10/08 15:51:00+00,31924,"Slatina n.Zdob.,rozc.Kameničná",3,bus,IREDO 202,661202,20,AUDIS BUS s.r.o.,Žamberk,2021/10/08 15:45:00+00,CDAL340
91,IREDO 201,661201,109,AUDIS BUS s.r.o.,3,2021/10/08 06:14:00+00,0,2021/10/08 06:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 225,661225,108,AUDIS BUS s.r.o.,Častolovice,2021/10/08 06:12:00+00,CDAL341
92,IREDO 201,661201,109,AUDIS BUS s.r.o.,3,2021/10/08 06:14:00+00,0,2021/10/08 06:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20207,,"České dráhy, a.s.",Častolovice,2021/10/08 05:58:00+00,CDAL342
93,IREDO 201,661201,113,AUDIS BUS s.r.o.,3,2021/10/08 10:14:00+00,0,2021/10/08 10:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20245,,"České dráhy, a.s.",Častolovice,2021/10/08 09:56:00+00,CDAL343
94,IREDO 201,661201,115,AUDIS BUS s.r.o.,3,2021/10/08 12:13:00+00,0,2021/10/08 12:13:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,vlak,VLAK,20247,,"České dráhy, a.s.",Častolovice,2021/10/08 11:56:00+00,CDAL344
95,IREDO 201,661201,117,AUDIS BUS s.r.o.,3,2021/10/08 15:14:00+00,0,2021/10/08 15:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 219,661219,18,AUDIS BUS s.r.o.,Lukavice,2021/10/08 15:13:00+00,CDAL345
96,IREDO 201,661201,117,AUDIS BUS s.r.o.,3,2021/10/08 15:14:00+00,0,2021/10/08 15:14:00+00,30688,"Rychnov n.Kněž.,žel.st.",5,bus,IREDO 250,700931,13,"ČSAD Ústí nad Orlicí, a.s.",Česká Třebová,2021/10/08 15:13:00+00,CDAL346
