ObjectId,linka_1,licence_1,spoj_1,dopravce_1,tarifni_cislo_1,prijezd_1,ceka_1,odjezd_1,zastavka_crz,zastavka_nazev,vycka,typ,linka_2,licence_2,spoj_2,dopravce_2,z_do,cas,dp_id
3489,IREDO 521,631521,10,BusLine KHK s.r.o.  ,26,2021/10/08 12:27:59+00,0,2021/10/08 12:27:59+00,55350,"Sadová,žel.st.",10,vlak,VLAK,5512,,"České dráhy, a.s.",Hradec Králové,2021/10/08 12:24:00+00,CDAL3249
3490,IREDO 521,631521,12,BusLine KHK s.r.o.  ,26,2021/10/08 14:28:00+00,0,2021/10/08 14:28:00+00,55350,"Sadová,žel.st.",10,vlak,VLAK,5514,,"České dráhy, a.s.",Hradec Králové,2021/10/08 14:24:00+00,CDAL3250
3491,680771,680771,7,"ČSAD Ústí nad Orlicí, a.s.",23,2021/10/08 04:30:00+00,0,2021/10/08 04:30:00+00, ,"Nové Hrady,nám.",5,bus,680819,680819,13,"ČSAD Ústí nad Orlicí, a.s.",Litomyšl,2021/10/08 04:28:00+00,CDAL3520
3492,680771,680771,8,"ČSAD Ústí nad Orlicí, a.s.",13,2021/10/08 13:50:00+00,0,2021/10/08 13:50:00+00, ,"Borová,žel.st.",5,bus,620752,620752,19,,Hlinsko,2021/10/08 13:47:59+00,CDAL3521
3493,680036,680036,5,Zlatovánek spol. s.r.o.,3,2021/10/08 03:27:59+00,3,2021/10/08 03:30:59+00, ,"Litomyšl,aut.nádr.",3,bus,700933,700933,1,"ČSAD Ústí nad Orlicí, a.s.",Česká Třebová,2021/10/08 03:30:59+00,CDAL3472
3494,700903,700903,5,"ČSAD Ústí nad Orlicí, a.s.",13,2021/10/08 04:46:00+00,0,2021/10/08 04:46:00+00,33911,Sudslava,3,bus,660207,660207,4,,Rychnov nad Kněžnou,2021/10/08 04:41:00+00,CDAL3522
3495,700903,700903,7,"ČSAD Ústí nad Orlicí, a.s.",13,2021/10/08 07:57:59+00,0,2021/10/08 07:57:59+00,33911,Sudslava,3,bus,660207,660207,6,,Rychnov nad Kněžnou,2021/10/08 07:47:59+00,CDAL3523
3496,680036,680036,5,Zlatovánek spol. s.r.o.,7,2021/10/08 04:17:00+00,3,2021/10/08 04:20:00+00,9211,"Holice,aut.nádr.",3,bus,IREDO 612,650612,2,ARRIVA VÝCHODNÍ ČECHY a.s.,Borohrádek,2021/10/08 04:12:59+00,CDAL3473
3497,700903,700903,8,"ČSAD Ústí nad Orlicí, a.s.",12,2021/10/08 08:09:00+00,0,2021/10/08 08:09:00+00,43884,"Sudslava,odb.Lhoty",3,bus,660207,660207,5,,Borovnice,2021/10/08 08:10:00+00,CDAL3524
3498,680036,680036,5,Zlatovánek spol. s.r.o.,7,2021/10/08 04:17:00+00,3,2021/10/08 04:20:00+00,9211,"Holice,aut.nádr.",3,bus,650615,650615,4,ARRIVA VÝCHODNÍ ČECHY a.s.,Choceň,2021/10/08 04:12:59+00,CDAL3474
3499,700903,700903,10,"ČSAD Ústí nad Orlicí, a.s.",12,2021/10/08 11:09:00+00,0,2021/10/08 11:09:00+00,43884,"Sudslava,odb.Lhoty",3,bus,660207,660207,7,,Borovnice,2021/10/08 11:10:00+00,CDAL3525
3500,680036,680036,7,Zlatovánek spol. s.r.o.,1,2021/10/08 03:35:00+00,0,2021/10/08 03:35:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,rj 576,,"České dráhy, a.s.",Brno,2021/10/08 03:24:00+00,CDAL3475
3501,700903,700903,14,"ČSAD Ústí nad Orlicí, a.s.",12,2021/10/08 13:14:00+00,0,2021/10/08 13:14:00+00,43884,"Sudslava,odb.Lhoty",3,bus,660207,660207,9,,Borovnice,2021/10/08 13:10:00+00,CDAL3526
3502,680036,680036,7,Zlatovánek spol. s.r.o.,7,2021/10/08 04:47:00+00,3,2021/10/08 04:50:00+00,9211,"Holice,aut.nádr.",3,bus,IREDO 200,661200,2,AUDIS BUS s.r.o.,Pardubice,2021/10/08 04:41:00+00,CDAL3476
3503,700983,700983,8,"ČSAD Ústí nad Orlicí, a.s.",18,2021/10/08 05:25:00+00,0,2021/10/08 05:25:00+00,12472,"Jablonné n.Orl.,aut.st.",5,bus,700960,700960,5,"ČSAD Ústí nad Orlicí, a.s.",Letohrad,2021/10/08 05:22:00+00,CDAL3527
3504,680036,680036,7,Zlatovánek spol. s.r.o.,7,2021/10/08 04:47:00+00,3,2021/10/08 04:50:00+00,9211,"Holice,aut.nádr.",3,bus,680814,680814,1,"ČSAD Ústí nad Orlicí, a.s.",Litomyšl,2021/10/08 04:47:00+00,CDAL3477
3505,700983,700983,8,"ČSAD Ústí nad Orlicí, a.s.",18,2021/10/08 05:25:00+00,0,2021/10/08 05:25:00+00,12472,"Jablonné n.Orl.,aut.st.",5,vlak,VLAK,LE 7151,,Leo Express,Ústí nad Orlicí,2021/10/08 05:15:00+00,CDAL3528
3506,680036,680036,7,Zlatovánek spol. s.r.o.,9,2021/10/08 05:00:00+00,0,2021/10/08 05:00:00+00, ,"Býšť,škola",3,bus,IREDO 650,650650,6,ARRIVA VÝCHODNÍ ČECHY a.s.,Hradec Králové,2021/10/08 04:54:00+00,CDAL3478
3507, IDOL 350,670350,22,BusLine LK s.r.o.  ,8,2021/10/08 05:09:00+00,0,2021/10/08 05:09:00+00, ,"Ohrazenice,u výkupny",5,bus,362,362,2,,,,CDAL3529
3508,680036,680036,9,Zlatovánek spol. s.r.o.,1,2021/10/08 04:05:00+00,0,2021/10/08 04:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 874,,"České dráhy, a.s.",Brno,2021/10/08 03:56:00+00,CDAL3479
3509, IDOL 501,670501,3,BusLine LK s.r.o.  ,1,2021/10/08 03:33:00+00,0,2021/10/08 03:33:00+00, ,"Semily,aut.nádr.",5,bus,670960,670960,51,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 03:27:59+00,CDAL3530
3510,680036,680036,9,Zlatovánek spol. s.r.o.,1,2021/10/08 04:05:00+00,0,2021/10/08 04:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,Sp 1753,,"České dráhy, a.s.",Česká Třebová,2021/10/08 03:55:00+00,CDAL3480
3511,680036,680036,9,Zlatovánek spol. s.r.o.,5,2021/10/08 04:50:59+00,3,2021/10/08 04:54:00+00, ,"Vysoké Mýto,aut.nádr.",3,bus,700920,700920,4,"ČSAD Ústí nad Orlicí, a.s.",Ústí nad Orlicí,2021/10/08 04:50:00+00,CDAL3481
3512,680036,680036,9,Zlatovánek spol. s.r.o.,7,2021/10/08 05:16:59+00,3,2021/10/08 05:19:59+00,9211,"Holice,aut.nádr.",3,bus,650615,650615,6,ARRIVA VÝCHODNÍ ČECHY a.s.,Choceň,2021/10/08 05:13:00+00,CDAL3482
3513,680036,680036,9,Zlatovánek spol. s.r.o.,7,2021/10/08 05:16:59+00,3,2021/10/08 05:19:59+00,9211,"Holice,aut.nádr.",3,bus,IREDO 200,651200,2,"ČSAD Ústí nad Orlicí, a.s.",Rychnov n.Kněž.,2021/10/08 05:13:00+00,CDAL3483
3514,680036,680036,11,Zlatovánek spol. s.r.o.,1,2021/10/08 06:04:59+00,0,2021/10/08 06:04:59+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 863,,"České dráhy, a.s.",Česká Třebová,2021/10/08 05:56:00+00,CDAL3484
3515,680036,680036,11,Zlatovánek spol. s.r.o.,1,2021/10/08 06:04:59+00,0,2021/10/08 06:04:59+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 872,,"České dráhy, a.s.",Brno,2021/10/08 05:57:00+00,CDAL3485
3516,680036,680036,11,Zlatovánek spol. s.r.o.,7,2021/10/08 07:17:00+00,3,2021/10/08 07:20:00+00,9211,"Holice,aut.nádr.",3,bus,650615,650615,10,ARRIVA VÝCHODNÍ ČECHY a.s.,Choceň,2021/10/08 07:15:00+00,CDAL3486
3517,680036,680036,13,Zlatovánek spol. s.r.o.,1,2021/10/08 08:05:00+00,0,2021/10/08 08:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 865,,"České dráhy, a.s.",Česká Třebová,2021/10/08 07:56:00+00,CDAL3487
3518,680036,680036,13,Zlatovánek spol. s.r.o.,1,2021/10/08 08:05:00+00,0,2021/10/08 08:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 870,,"České dráhy, a.s.",Brno,2021/10/08 07:57:00+00,CDAL3488
3519,680036,680036,13,Zlatovánek spol. s.r.o.,7,2021/10/08 09:17:00+00,3,2021/10/08 09:20:00+00,9211,"Holice,aut.nádr.",3,bus,IREDO 200,651200,4,"ČSAD Ústí nad Orlicí, a.s.",Rychnov n.Kněž.,2021/10/08 09:13:00+00,CDAL3489
3520,680036,680036,15,Zlatovánek spol. s.r.o.,1,2021/10/08 10:05:00+00,0,2021/10/08 10:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 867,,"České dráhy, a.s.",Česká Třebová,2021/10/08 09:56:00+00,CDAL3490
3521,680036,680036,15,Zlatovánek spol. s.r.o.,1,2021/10/08 10:05:00+00,0,2021/10/08 10:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 868,,"České dráhy, a.s.",Brno,2021/10/08 09:57:00+00,CDAL3491
3522,680036,680036,15,Zlatovánek spol. s.r.o.,7,2021/10/08 11:16:59+00,3,2021/10/08 11:19:59+00,9211,"Holice,aut.nádr.",3,bus,650616,650616,10,ARRIVA VÝCHODNÍ ČECHY a.s.,Trusnov,2021/10/08 11:18:00+00,CDAL3492
3523,680036,680036,17,Zlatovánek spol. s.r.o.,1,2021/10/08 12:04:59+00,0,2021/10/08 12:04:59+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 866,,"České dráhy, a.s.",Brno,2021/10/08 11:57:00+00,CDAL3493
3524,680036,680036,17,Zlatovánek spol. s.r.o.,1,2021/10/08 12:04:59+00,0,2021/10/08 12:04:59+00, ,"Svitavy,žel.st.",5,vlak,VLAK,R 869,,"České dráhy, a.s.",Česká Třebová,2021/10/08 11:56:00+00,CDAL3494
3525,680036,680036,17,Zlatovánek spol. s.r.o.,5,2021/10/08 12:51:00+00,3,2021/10/08 12:54:00+00, ,"Vysoké Mýto,aut.nádr.",3,bus,700925,700925,10,"ČSAD Ústí nad Orlicí, a.s.",Luže,2021/10/08 12:54:00+00,CDAL3495
3526,680036,680036,17,Zlatovánek spol. s.r.o.,7,2021/10/08 13:17:00+00,3,2021/10/08 13:20:00+00,9211,"Holice,aut.nádr.",3,bus,IREDO 200,651200,6,"ČSAD Ústí nad Orlicí, a.s.",Rychnov n.Kněž.,2021/10/08 13:12:59+00,CDAL3496
3527,680036,680036,19,Zlatovánek spol. s.r.o.,1,2021/10/08 13:05:00+00,0,2021/10/08 13:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,Sp 1752,,"České dráhy, a.s.",Brno,2021/10/08 12:58:00+00,CDAL3497
3528,680036,680036,19,Zlatovánek spol. s.r.o.,1,2021/10/08 13:05:00+00,0,2021/10/08 13:05:00+00, ,"Svitavy,žel.st.",5,vlak,VLAK,Sp 1757,,"České dráhy, a.s.",Česká Třebová,2021/10/08 13:01:00+00,CDAL3498
3529,680036,680036,19,Zlatovánek spol. s.r.o.,7,2021/10/08 14:16:59+00,3,2021/10/08 14:19:59+00,9211,"Holice,aut.nádr.",3,bus,650615,650615,16,ARRIVA VÝCHODNÍ ČECHY a.s.,Choceň,2021/10/08 14:18:00+00,CDAL3499
3530,680036,680036,19,Zlatovánek spol. s.r.o.,7,2021/10/08 14:16:59+00,3,2021/10/08 14:19:59+00,9211,"Holice,aut.nádr.",3,bus,IREDO 650,650650,16,ARRIVA VÝCHODNÍ ČECHY a.s.,Hradec Králové,2021/10/08 14:18:00+00,CDAL3500
3531, IDOL 501,670501,5,BusLine LK s.r.o.  ,1,2021/10/08 04:33:00+00,0,2021/10/08 04:33:00+00, ,"Semily,aut.nádr.",5,bus,670960,670960,1,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 04:23:00+00,CDAL3531
3532, IDOL 501,670501,5,BusLine LK s.r.o.  ,1,2021/10/08 04:33:00+00,0,2021/10/08 04:33:00+00, ,"Semily,aut.nádr.",5,bus,670960,670960,2,BusLine LK s.r.o. ,Železný Brod,2021/10/08 04:27:00+00,CDAL3532
3533, IDOL 501,670501,7,BusLine LK s.r.o.  ,1,2021/10/08 05:32:59+00,0,2021/10/08 05:32:59+00, ,"Semily,aut.nádr.",5,bus,670960,670960,53,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 05:28:00+00,CDAL3533
3534, IDOL 501,670501,9,BusLine LK s.r.o.  ,1,2021/10/08 07:33:00+00,0,2021/10/08 07:33:00+00, ,"Semily,aut.nádr.",5,bus,670960,670960,7,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 07:28:00+00,CDAL3534
3535, IDOL 501,670501,11,BusLine LK s.r.o.  ,1,2021/10/08 09:33:00+00,0,2021/10/08 09:33:00+00, ,"Semily,aut.nádr.",5,bus,540960,540960,9,"ČSAD Liberec, a.s.",Jilemnice - Benešov u Semil,2021/10/08 09:27:59+00,CDAL3535
3536, IDOL 501,670501,15,BusLine LK s.r.o.  ,1,2021/10/08 11:32:59+00,0,2021/10/08 11:32:59+00, ,"Semily,aut.nádr.",3,bus,670960,670960,11,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 11:28:00+00,CDAL3536
3537, IDOL 501,670501,17,BusLine LK s.r.o.  ,1,2021/10/08 12:33:00+00,0,2021/10/08 12:33:00+00, ,"Semily,aut.nádr.",3,bus,670960,670960,13,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 12:27:59+00,CDAL3537
3538, IDOL 501,670501,17,BusLine LK s.r.o.  ,1,2021/10/08 12:33:00+00,0,2021/10/08 12:33:00+00, ,"Semily,aut.nádr.",3,bus,690960,690960,10,,Železný Brod,2021/10/08 12:27:00+00,CDAL3538
3539, IDOL 501,670501,19,BusLine LK s.r.o.  ,1,2021/10/08 13:33:00+00,0,2021/10/08 13:33:00+00, ,"Semily,aut.nádr.",5,bus,540960,540960,12,"ČSAD Liberec, a.s.",Železný Brod,2021/10/08 13:27:00+00,CDAL3539
3540, IDOL 501,670501,19,BusLine LK s.r.o.  ,1,2021/10/08 13:33:00+00,0,2021/10/08 13:33:00+00, ,"Semily,aut.nádr.",5,bus,670960,670960,15,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 13:28:00+00,CDAL3540
3541, IDOL 501,670501,21,BusLine LK s.r.o.  ,1,2021/10/08 14:32:59+00,0,2021/10/08 14:32:59+00, ,"Semily,aut.nádr.",5,bus,670960,670960,14,BusLine LK s.r.o. ,Železný Brod,2021/10/08 14:27:00+00,CDAL3541
3542, IDOL 501,670501,21,BusLine LK s.r.o.  ,1,2021/10/08 14:32:59+00,0,2021/10/08 14:32:59+00, ,"Semily,aut.nádr.",5,bus,670960,670960,55,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 14:28:00+00,CDAL3542
3543, IDOL 501,670501,21,BusLine LK s.r.o.  ,22,2021/10/08 15:06:00+00,0,2021/10/08 15:06:00+00,19227,"Lomnice n.Pop.,Ploužnice",5,bus,670555,670555,5,BusLine LK s.r.o. ,,2021/10/08 15:01:59+00,CDAL3543
3544, IDOL 501,670501,25,BusLine KHK s.r.o.  ,1,2021/10/08 16:34:59+00,0,2021/10/08 16:34:59+00, ,"Semily,aut.nádr.",15,bus,670960,670960,16,BusLine LK s.r.o. ,Jablonec n.Nis.,2021/10/08 16:27:00+00,CDAL3544
3545, IDOL 501,670501,25,BusLine KHK s.r.o.  ,1,2021/10/08 16:34:59+00,0,2021/10/08 16:34:59+00, ,"Semily,aut.nádr.",15,bus,670960,670960,59,BusLine LK s.r.o. ,Jilemnice - Benešov u Semil,2021/10/08 16:25:00+00,CDAL3545
3546, IDOL 501,670501,35,BusLine LK s.r.o.  ,19,2021/10/08 11:29:59+00,0,2021/10/08 11:29:59+00,19215,"Lomnice n.Pop.,aut.nádr.",3,bus,670553,670553,5,BusLine LK s.r.o. ,,2021/10/08 11:29:59+00,CDAL3546
3547, IDOL 501,670501,35,BusLine LK s.r.o.  ,22,2021/10/08 11:35:59+00,0,2021/10/08 11:35:59+00,19227,"Lomnice n.Pop.,Ploužnice",3,bus,670555,670555,7,BusLine LK s.r.o. ,,2021/10/08 11:35:59+00,CDAL3547
3548, IDOL 501,670501,39,BusLine LK s.r.o.  ,22,2021/10/08 13:36:00+00,0,2021/10/08 13:36:00+00,19227,"Lomnice n.Pop.,Ploužnice",3,bus,670555,670555,3,BusLine KHK s.r.o.,,2021/10/08 13:30:00+00,CDAL3548
3549, IDOL 501,670501,41,BusLine LK s.r.o.  ,1,2021/10/08 05:03:00+00,0,2021/10/08 05:03:00+00, ,"Semily,aut.nádr.",5,bus,690960,690960,3,,Jilemnice - Benešov u Semil,2021/10/08 04:53:00+00,CDAL3549
3550, IDOL 501,670501,43,BusLine LK s.r.o.  ,1,2021/10/08 08:32:59+00,0,2021/10/08 08:32:59+00, ,"Semily,aut.nádr.",5,bus,670960,670960,6,BusLine LK s.r.o. ,Železný Brod,2021/10/08 08:27:00+00,CDAL3550
3551,IREDO 530,631530,30,BusLine KHK s.r.o.  ,48,2021/10/08 18:00:00+00,0,2021/10/08 18:00:00+00,50338,"Hořice,aut.st.",10,bus,IREDO 504,631504,26,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 17:51:59+00,CDAL3301
3552,IREDO 530,631530,216,BusLine KHK s.r.o.  ,48,2021/10/08 09:10:00+00,0,2021/10/08 09:10:00+00,50338,"Hořice,aut.st.",5,bus,670370,670370,7,BusLine LK s.r.o. ,Liberec,2021/10/08 09:00:00+00,CDAL3302
3553,IREDO 530,691530,9,AUDIS BUS s.r.o.,25,2021/10/08 03:55:00+00,5,2021/10/08 03:59:59+00,23585,"Nová Paka,aut.st.",3,bus,IREDO 406,691406,2,AUDIS BUS s.r.o.,Trutnov,2021/10/08 03:57:00+00,CDAL3303
3554,IREDO 530,691530,9,AUDIS BUS s.r.o.,25,2021/10/08 03:55:00+00,5,2021/10/08 03:59:59+00,23585,"Nová Paka,aut.st.",3,bus,IREDO 536,692536,3,BusLine KHK s.r.o.,Dvůr Králové n. L.,2021/10/08 03:57:00+00,CDAL3304
3555,IREDO 530,691530,9,AUDIS BUS s.r.o.,41,2021/10/08 04:20:00+00,3,2021/10/08 04:23:00+00,17550,"Lázně Bělohrad,nám.",3,bus,IREDO 507,631507,50,BusLine KHK s.r.o.,Jičín,2021/10/08 04:18:00+00,CDAL3305
3556,IREDO 530,692530,7,BusLine KHK s.r.o.  ,45,2021/10/08 04:50:00+00,3,2021/10/08 04:53:00+00,17550,"Lázně Bělohrad,nám.",5,bus,IREDO 520,631520,4,BusLine KHK s.r.o.,Miletín,2021/10/08 04:50:00+00,CDAL3306
3557,IREDO 530,692530,13,BusLine KHK s.r.o.  ,45,2021/10/08 08:27:00+00,3,2021/10/08 08:29:59+00,17550,"Lázně Bělohrad,nám.",5,bus,IREDO 520,692520,8,BusLine KHK s.r.o.,Miletín,2021/10/08 08:24:00+00,CDAL3307
3558,IREDO 530,692530,21,BusLine KHK s.r.o.  ,29,2021/10/08 13:08:00+00,0,2021/10/08 13:08:00+00,23585,"Nová Paka,aut.st.",5,bus,IREDO 406,631406,16,BusLine KHK s.r.o.,Trutnov,2021/10/08 12:57:00+00,CDAL3308
3559,IREDO 530,692530,21,BusLine KHK s.r.o.  ,29,2021/10/08 13:08:00+00,0,2021/10/08 13:08:00+00,23585,"Nová Paka,aut.st.",5,bus,IREDO 405,690405,7,KAD spol. s r.o.,Vrchlabí,2021/10/08 12:57:00+00,CDAL3309
3560,IREDO 530,692530,21,BusLine KHK s.r.o.  ,45,2021/10/08 13:28:00+00,2,2021/10/08 13:30:00+00,17550,"Lázně Bělohrad,nám.",5,bus,IREDO 507,631507,15,BusLine KHK s.r.o.,Jičín,2021/10/08 13:20:00+00,CDAL3310
3561,IREDO 530,692530,12,BusLine KHK s.r.o.  ,55,2021/10/08 06:07:00+00,0,2021/10/08 06:07:00+00,50338,"Hořice,aut.st.",5,bus,IREDO 504,631504,9,BusLine KHK s.r.o.,Jičín,2021/10/08 06:04:59+00,CDAL3311
3562,IREDO 530,692530,12,BusLine KHK s.r.o.  ,55,2021/10/08 06:07:00+00,0,2021/10/08 06:07:00+00,50338,"Hořice,aut.st.",5,bus,670370,670370,4,BusLine LK s.r.o. ,Hradec Králové,2021/10/08 05:58:00+00,CDAL3312
3563,IREDO 530,692530,20,BusLine KHK s.r.o.  ,45,2021/10/08 12:30:59+00,4,2021/10/08 12:35:00+00,17550,"Lázně Bělohrad,nám.",5,bus,IREDO 507,631507,13,BusLine KHK s.r.o.,Jičín,2021/10/08 12:35:00+00,CDAL3313
3564,IREDO 530,692530,20,BusLine KHK s.r.o.  ,45,2021/10/08 12:30:59+00,4,2021/10/08 12:35:00+00,17550,"Lázně Bělohrad,nám.",5,bus,IREDO 507,692507,52,BusLine KHK s.r.o.,Pecka,2021/10/08 12:32:00+00,CDAL3314
3565,IREDO 530,692530,102,BusLine KHK s.r.o.  ,55,2021/10/08 05:57:00+00,0,2021/10/08 05:57:00+00,50338,"Hořice,aut.st.",10,bus,IREDO 504,631504,100,BusLine KHK s.r.o.,Hradec Králové,2021/10/08 05:54:00+00,CDAL3315
